region;kuntanimi;TYOTOSUUS;TYOTTOMAT;PT9;tt_osuus;tt_maara;PT9_osuus
005;Alajärvi;14.2;599;78;7.5;753;13.02
009;Alavieska;14;165;55;4.6;123;33.33
010;Alavus;12.2;640;82;7.5;901;12.81
016;Asikkala;13.2;476;150;3.8;314;31.51
018;Askola;10.3;261;88;4;203;33.72
019;Aura;10.3;204;56;6;239;27.45
020;Akaa;15.1;1220;354;7.6;1299;29.02
035;Brändö;5.6;12;0;1.9;9;0
043;Eckerö;5.2;24;0;2.2;21;0
046;Enonkoski;17.5;107;44;6.2;92;41.12
047;Enontekiö;20.5;189;48;6.6;122;25.4
049;Espoo;10.9;14904;6025;7.8;21027;40.43
050;Eura;9.7;547;125;4.2;507;22.85
051;Eurajoki;11.2;309;87;4.2;249;28.16
052;Evijärvi;9.5;112;20;4.6;118;17.86
060;Finström;3.9;49;8;3.8;95;16.33
061;Forssa;15.6;1255;342;7.5;1314;27.25
062;Föglö;0;0;0;1.6;9;0
065;Geta;4.5;11;0;5;25;0
069;Haapajärvi;13.7;433;73;6.6;488;16.86
071;Haapavesi;14.8;456;113;8.5;610;24.78
072;Hailuoto;14.7;57;20;5.5;55;35.09
074;Halsua;9.7;50;7;4.1;50;14
075;Hamina;16;1522;397;6.9;1438;26.08
076;Hammarland;3.5;27;0;3.8;59;0
077;Hankasalmi;17.1;385;110;6.9;361;28.57
078;Hanko;14.4;584;221;6.2;549;37.84
079;Harjavalta;13.7;437;109;7.4;539;24.94
081;Hartola;15.7;199;41;6.4;191;20.6
082;Hattula;10;475;125;4.1;399;26.32
086;Hausjärvi;8.3;358;76;3.9;338;21.23
090;Heinävesi;18.4;256;85;10.6;378;33.2
091;Helsinki;12.7;41714;16292;10.4;65262;39.06
092;Vantaa;12.6;14086;5002;10.8;23250;35.51
097;Hirvensalmi;14.4;141;47;3.9;89;33.33
098;Hollola;11.9;1360;481;4.1;986;35.37
099;Honkajoki;13.2;112;29;5.1;91;25.89
102;Huittinen;10.7;505;92;5.3;559;18.22
103;Humppila;16.5;184;58;4;96;31.52
105;Hyrynsalmi;22.5;228;57;5.3;128;25
106;Hyvinkää;12.7;2940;799;6.8;3153;27.18
108;Hämeenkyrö;14.3;702;225;4.4;469;32.05
109;Hämeenlinna;13.3;4280;1334;7.3;4968;31.17
111;Heinola;18.7;1623;491;7;1375;30.25
139;Ii;20;817;246;5.7;547;30.11
140;Iisalmi;16.9;1752;485;7.9;1728;27.68
142;Iitti;15.2;482;131;5.1;351;27.18
143;Ikaalinen;16.5;521;163;6.4;459;31.29
145;Ilmajoki;11.2;637;130;4.5;548;20.41
146;Ilomantsi;21.5;478;89;5.2;280;18.62
148;Inari;15.4;503;172;6.5;441;34.19
149;Inkoo;9;242;97;3.3;184;40.08
151;Isojoki;9.8;92;17;4.6;98;18.48
152;Isokyrö;11.7;253;67;5.3;253;26.48
153;Imatra;19.7;2451;574;5.7;1600;23.42
165;Janakkala;11.6;920;264;6.3;1063;28.7
167;Joensuu;19.1;6686;1835;9.8;7385;27.45
169;Jokioinen;12.3;329;92;5.8;317;27.96
170;Jomala;3.1;73;8;1.1;51;10.96
171;Joroinen;15.7;354;75;5.9;300;21.19
172;Joutsa;16.7;335;118;5.7;265;35.22
174;Juankoski;17.8;382;100;6.4;309;26.18
176;Juuka;19.1;391;102;8;402;26.09
177;Juupajoki;14.3;128;38;7.6;152;29.69
178;Juva;12.6;360;84;5.1;336;23.33
179;Jyväskylä;18.2;12162;4218;9.1;12488;34.68
181;Jämijärvi;11.8;100;30;2.9;56;30
182;Jämsä;18.4;1811;680;6.5;1390;37.55
186;Järvenpää;11.4;2396;875;7.8;3198;36.52
202;Kaarina;10.6;1642;380;4.3;1416;23.14
204;Kaavi;19.3;235;58;7.2;229;24.68
205;Kajaani;16.8;2958;753;7.7;2911;25.46
208;Kalajoki;12.4;705;146;4.5;564;20.71
211;Kangasala;13.2;1960;676;4.5;1384;34.49
213;Kangasniemi;15.3;357;118;4.9;274;33.05
214;Kankaanpää;14.3;772;148;4.6;538;19.17
216;Kannonkoski;20.2;121;47;3.3;48;38.84
217;Kannus;12.6;321;56;7.7;432;17.45
218;Karijoki;14;92;12;6.1;84;13.04
224;Karkkila;13;560;182;6.4;577;32.5
226;Karstula;22.9;413;121;5.2;224;29.3
230;Karvia;17;185;42;3.9;97;22.7
231;Kaskinen;15.3;90;25;3.1;40;27.78
232;Kauhajoki;13.5;869;117;8.4;1160;13.46
233;Kauhava;9.8;733;95;5.9;989;12.96
235;Kauniainen;8.1;332;146;3.1;291;43.98
236;Kaustinen;8.9;185;25;5.6;239;13.51
239;Keitele;12.5;131;42;8.1;192;32.06
240;Kemi;20.2;1888;503;11.5;2492;26.64
241;Keminmaa;16;625;125;5.6;466;20
244;Kempele;13.3;1057;292;3.6;611;27.63
245;Kerava;12.3;2236;720;8.4;2968;32.2
249;Keuruu;15.8;677;216;8.3;838;31.91
250;Kihniö;15.8;142;30;8.5;173;21.13
256;Kinnula;22.1;152;63;8.3;145;41.45
257;Kirkkonummi;10.9;2092;902;6;2304;43.12
260;Kitee;20.2;948;273;6.1;666;28.8
261;Kittilä;11.4;377;93;5.2;333;24.67
263;Kiuruvesi;16.6;603;151;5.7;491;25.04
265;Kivijärvi;19.7;89;33;6.8;82;37.08
271;Kokemäki;14;486;132;5.5;414;27.16
272;Kokkola;12.3;2684;597;5.1;2403;22.24
273;Kolari;16;297;57;5.7;218;19.19
275;Konnevesi;15.7;193;65;5.4;148;33.68
276;Kontiolahti;13;924;257;4.9;732;27.81
280;Korsnäs;6.4;67;11;3;66;16.42
284;Koski Tl;10.4;106;25;4.9;117;23.58
285;Kotka;22.2;5525;1834;11.8;6383;33.19
286;Kouvola;16.7;6625;1959;6;5153;29.57
287;Kristiinankaupunki;9.6;294;49;2.5;173;16.67
288;Kruunupyy;6.7;210;54;2.2;145;25.71
290;Kuhmo;22.5;875;256;6.1;533;29.26
291;Kuhmoinen;18.2;166;73;3.6;83;43.98
295;Kumlinge;5.8;9;0;0;0;0
297;Kuopio;14.8;7837;2111;8.9;10028;26.94
300;Kuortane;9.2;150;27;3.3;121;18
301;Kurikka;12.9;1271;251;6;1295;19.75
304;Kustavi;15.2;54;7;5.8;52;12.96
305;Kuusamo;15.1;1057;191;7.2;1130;18.07
309;Outokumpu;18.7;539;127;8.7;621;23.56
312;Kyyjärvi;16.9;98;22;3.3;45;22.45
316;Kärkölä;13.4;294;92;6.1;281;31.29
317;Kärsämäki;15.8;173;37;6.3;168;21.39
318;Kökar;0;0;0;6.4;16;0
320;Kemijärvi;19.9;654;205;6.6;516;31.35
322;Kemiönsaari;11.3;337;86;4.1;285;25.52
398;Lahti;18.8;10669;3880;8.8;10416;36.37
399;Laihia;10.4;402;96;5.7;458;23.88
400;Laitila;8.8;346;32;4.1;350;9.25
402;Lapinlahti;15.5;687;169;7.5;750;24.6
403;Lappajärvi;10.7;148;21;3;97;14.19
405;Lappeenranta;17.1;5958;1600;7.7;5584;26.85
407;Lapinjärvi;14.2;182;76;5.2;143;41.76
408;Lapua;11.3;745;120;5.5;798;16.11
410;Laukaa;15.4;1325;405;5.1;957;30.57
416;Lemi;11.9;171;46;3.6;110;26.9
417;Lemland;3.2;31;0;3;60;0
418;Lempäälä;12.9;1369;398;6.2;1386;29.07
420;Leppävirta;15;663;215;6.2;620;32.43
421;Lestijärvi;10.8;36;9;8.8;70;25
422;Lieksa;20.6;1001;275;11.1;1302;27.47
423;Lieto;9.6;900;222;3.9;752;24.67
425;Liminka;10.6;437;98;5.1;508;22.43
426;Liperi;13.5;780;203;5.9;731;26.03
430;Loimaa;12.2;905;245;4.4;732;27.07
433;Loppi;9.6;367;102;3.4;278;27.79
434;Loviisa;14.6;1055;392;6.2;946;37.16
435;Luhanka;15.2;41;19;2.6;20;46.34
436;Lumijoki;12.5;104;19;7.2;149;18.27
438;Lumparland;2.6;5;0;0;0;0
440;Luoto;3.9;87;19;1.7;85;21.84
441;Luumäki;14.3;310;89;3.8;184;28.71
442;Luvia;12.6;196;63;5.4;180;32.14
444;Lohja;13.7;3185;1178;5.8;2732;36.99
445;Parainen;8.4;593;138;3.8;593;23.27
475;Maalahti;8.1;217;47;3.7;205;21.66
478;Maarianhamina;5.2;301;33;3.3;378;10.96
480;Marttila;12.6;117;37;4.7;95;31.62
481;Masku;8.5;417;93;1.9;186;22.3
483;Merijärvi;10.7;49;10;5.8;66;20.41
484;Merikarvia;17.3;225;74;5.4;173;32.89
489;Miehikkälä;13.9;115;32;7.9;164;27.83
491;Mikkeli;15.6;3980;1095;6.1;3361;27.51
494;Muhos;14.2;555;162;6.8;618;29.19
495;Multia;16.1;112;33;8.8;150;29.46
498;Muonio;15.3;165;29;2.3;54;17.58
499;Mustasaari;7.1;684;182;2.4;471;26.61
500;Muurame;12.8;609;187;4;389;30.71
503;Mynämäki;12;447;123;4.6;362;27.52
504;Myrskylä;14.4;131;58;5.9;116;44.27
505;Mäntsälä;8.7;878;296;3.3;677;33.71
507;Mäntyharju;17.7;453;148;5.4;331;32.67
508;;16.6;752;235;8.1;855;31.25
529;Naantali;11.6;1053;298;5.6;1058;28.3
531;Nakkila;15;371;96;6.4;360;25.88
535;Nivala;14.6;670;167;5.9;643;24.93
536;Nokia;15.9;2523;678;5.7;1889;26.87
538;Nousiainen;10.6;259;78;3;144;30.12
541;Nurmes;19.3;664;163;6.3;503;24.55
543;Nurmijärvi;8.5;1779;603;4.5;1887;33.9
545;Närpiö;5.3;232;25;4.2;390;10.78
560;Orimattila;14.4;1099;395;6.8;1115;35.94
561;Oripää;9.1;58;16;7.4;102;27.59
562;Orivesi;15.3;654;143;8.6;807;21.87
563;Oulainen;14.1;464;129;4.6;350;27.8
564;Oulu;17.9;16943;5266;6.9;13718;31.08
576;Padasjoki;15;195;82;2.8;87;42.05
577;Paimio;9.3;477;95;5.5;579;19.92
578;Paltamo;17.1;249;73;6.3;219;29.32
580;Parikkala;15.7;347;111;4.9;259;31.99
581;Parkano;15.7;458;113;5.4;364;24.67
583;Pelkosenniemi;23.7;101;28;5.9;57;27.72
584;Perho;14.5;164;24;7.9;231;14.63
588;Pertunmaa;13.7;101;32;3.5;63;31.68
592;Petäjävesi;16;289;88;7.4;295;30.45
593;Pieksämäki;14.1;1163;280;7.5;1414;24.08
595;Pielavesi;14;249;63;5.5;261;25.3
598;Pietarsaari;11.1;997;270;5.8;1126;27.08
599;Pedersören kunta;3.8;201;57;1.9;212;28.36
601;Pihtipudas;16.7;301;116;6.6;278;38.54
604;Pirkkala;12.2;1132;346;4.9;930;30.57
607;Polvijärvi;18.4;367;133;8.1;369;36.24
608;Pomarkku;14.7;143;42;5.5;124;29.37
609;Pori;18.2;7285;2299;6.3;5359;31.56
611;Pornainen;8.3;215;75;2.1;110;34.88
614;Posio;22;325;117;7;242;36
615;Pudasjärvi;19.8;642;131;6.4;525;20.4
616;Pukkila;9.1;89;32;4.5;89;35.96
619;Punkalaidun;10.5;138;36;5.8;176;26.09
620;Puolanka;19.4;221;52;6.2;173;23.53
623;Puumala;14;130;55;2.8;64;42.31
624;Pyhtää;16.4;399;135;5;264;33.83
625;Pyhäjoki;12.1;169;34;3.3;106;20.12
626;Pyhäjärvi;15.5;353;80;5.5;303;22.66
630;Pyhäntä;15.7;100;21;1.8;29;21
631;Pyhäranta;10.6;108;34;3.3;70;31.48
635;Pälkäne;13.8;414;118;6.1;404;28.5
636;Pöytyä;11.5;456;154;3.3;281;33.77
638;Porvoo;11.4;2812;987;6.9;3462;35.1
678;Raahe;14.8;1636;280;6.7;1692;17.11
680;Raisio;13.2;1570;403;9.4;2284;25.67
681;Rantasalmi;17.7;288;83;5.8;216;28.82
683;Ranua;18.8;298;84;5.9;239;28.19
684;Rauma;14.3;2711;791;5;1987;29.18
686;Rautalampi;14.7;194;45;5.8;193;23.2
687;Rautavaara;18.4;120;26;8.2;142;21.67
689;Rautjärvi;16.1;232;75;3.9;138;32.33
691;Reisjärvi;8.6;103;17;3.9;112;16.5
694;Riihimäki;13.2;1920;482;7.8;2278;25.1
697;Ristijärvi;15;88;21;4.5;61;23.86
698;Rovaniemi;16.5;4927;1406;7.1;4402;28.54
700;Ruokolahti;13.3;307;93;3.5;188;30.29
702;Ruovesi;13.5;259;75;3.2;149;28.96
704;Rusko;8.9;269;63;2.5;154;23.42
707;Rääkkylä;19.7;191;59;4.6;108;30.89
710;Raasepori;12.5;1645;557;6.3;1796;33.86
729;Saarijärvi;22.9;1009;311;6;590;30.82
732;Salla;22.8;362;113;4.7;175;31.22
734;Salo;18.3;4585;1430;5.3;2864;31.19
736;Saltvik;3.2;29;0;2.6;47;0
738;Sauvo;9.9;139;27;3.1;94;19.42
739;Savitaipale;13.9;215;65;3.6;130;30.23
740;Savonlinna;18.6;2973;882;5.6;1995;29.67
742;Savukoski;19.7;101;34;6.3;67;33.66
743;Seinäjoki;12.9;3880;805;7;4314;20.75
746;Sievi;12.3;249;67;9;461;26.91
747;Siikainen;16.2;100;38;5.8;89;38
748;Siikajoki;14;321;52;4;218;16.2
749;Siilinjärvi;10.8;1121;194;5.1;1105;17.31
751;Simo;16.8;228;69;3.2;105;30.26
753;Sipoo;7.3;693;229;3.7;712;33.04
755;Siuntio;7.3;230;95;2.8;171;41.3
758;Sodankylä;14.2;592;170;7.5;657;28.72
759;Soini;19.1;171;32;6.1;136;18.71
761;Somero;13.5;540;138;4.6;421;25.56
762;Sonkajärvi;19.4;362;99;6.1;262;27.35
765;Sotkamo;14.6;709;187;6.3;660;26.38
766;Sottunga;0;0;0;0;0;0
768;Sulkava;16.9;188;59;5.8;158;31.38
771;Sund;5.4;28;0;3.4;35;0
777;Suomussalmi;22.1;794;193;6.9;575;24.31
778;Suonenjoki;13.2;412;99;6.7;493;24.03
781;Sysmä;14.9;231;76;4.5;180;32.9
783;Säkylä;9.8;331;79;4.8;341;23.87
785;Vaala;18.1;226;77;9;277;34.07
790;Sastamala;13.2;1492;440;5.6;1413;29.49
791;Siikalatva;13.1;323;100;5.1;290;30.96
831;Taipalsaari;12.4;287;76;4.5;218;26.48
832;Taivalkoski;19.6;338;91;7.6;319;26.92
833;Taivassalo;11.4;84;28;2.4;39;33.33
834;Tammela;10.3;310;87;4.6;287;28.06
837;Tampere;18.9;21356;7164;10;22470;33.55
844;Tervo;13.4;93;32;4.5;73;34.41
845;Tervola;18.7;247;69;4.6;146;27.94
846;Teuva;13.1;309;32;5.6;309;10.36
848;Tohmajärvi;20.5;424;129;7.8;369;30.42
849;Toholampi;10.5;147;27;5.6;185;18.37
850;Toivakka;16;173;62;4.1;100;35.84
851;Tornio;17.5;1791;428;7.5;1667;23.9
853;Turku;17.7;16134;5477;7.4;13791;33.95
854;Pello;18.7;284;89;6.6;240;31.34
857;Tuusniemi;16.3;177;46;5.9;160;25.99
858;Tuusula;8.9;1736;622;4.2;1620;35.83
859;Tyrnävä;14.8;412;89;5.2;352;21.6
886;Ulvila;14.8;930;302;5.1;684;32.47
887;Urjala;14.8;332;123;8;396;37.05
889;Utajärvi;16.6;195;59;5.9;169;30.26
890;Utsjoki;13;74;27;5;63;36.49
892;Uurainen;16.2;259;91;6.4;235;35.14
893;Uusikaarlepyy;5.2;186;38;2.4;183;20.43
895;Uusikaupunki;12.3;877;179;5.3;825;20.41
905;Vaasa;12.1;4006;1008;7.4;4990;25.16
908;Valkeakoski;14.3;1362;408;6.5;1397;29.96
911;Valtimo;17.2;163;47;4.1;95;28.83
915;Varkaus;19.9;1885;485;8.8;1897;25.73
918;Vehmaa;10.1;106;21;6;136;19.81
921;Vesanto;14.9;129;40;5;109;31.01
922;Vesilahti;12.4;262;90;2.8;124;34.35
924;Veteli;7.6;115;30;3.8;124;26.09
925;Vieremä;12.9;223;70;4.7;175;31.39
927;Vihti;11;1622;626;4.9;1410;38.59
931;Viitasaari;20.9;601;215;6.5;433;35.77
934;Vimpeli;14;190;31;4.8;149;16.32
935;Virolahti;14.4;213;49;7.1;238;23
936;Virrat;17.4;507;95;6.6;459;18.74
941;Vårdö;0;0;0;0;0;0
946;Vöyri;7.5;240;62;3.4;229;25.83
976;Ylitornio;17.8;322;106;5.8;248;32.92
977;Ylivieska;14.1;967;222;7.6;1137;22.96
980;Ylöjärvi;14;2174;631;5.3;1748;29.02
981;Ypäjä;14;164;42;4.4;105;25.61
989;Ähtäri;14;377;74;6;366;19.63
992;Äänekoski;20.4;1786;630;7.9;1554;35.27
